MRV LEG,,,,,,,,,,,,,,,,,
Part,Link,Price,w. Tax,Delivery,Weight (g),Note,Quantity,SKU,Total,,,,,,,,
Spring,link, £20.00 , £24.00 , £-   ,10,They don’t say the delivery fee until I order?,0,LCM125HK 05 M, £-   ,,got a free sample don’t order,,,,,,
DC geared motor,link,, £5.20 , £3.30 ,22,GR 298:1,2,75-0639, £13.70 ,,,,,,,,
Motor Driver,link,, £6.70 ,,1.8,dual motor controller with separate v input,2,ADA2448, £13.40 ,,Total LeeSpring: £24,,,,,,
Linear bearing,link, £7.74 , £9.29 ,,18.5,the tolerance required for the igus is H9,1,KH1228-EU, £9.29 ,,Total SimplyBearings: £28.34,,,,,,
Thin bearing,link, £2.23 , £2.68 , £2.50 ,12,tiny,6,683-EU, £18.56 ,,Total HobbyRc: 27.85,,,,,,
Servo,link,, £4.00 ,,9,"connect the 5v and gnd to step down, control at 3.3 from teensy",1,103114, £4.00 ,,Total Rapid: £24.74,,,,,,
Total,,,,,73.3,,,, £58.94 ,,Total PiHut: £103.9,,,,,,
MRV BRAIN,,,,,,,,,,,,,,,,,
Part,Link,Price,w. Tax,Delivery,Weight (g),Note,Quantity,SKU,Total,,,,,,,,
Teensy 4.0,link,, £25.80 , £3.50 ,2.8,the processing unit,1,DEV-16997, £29.30 ,,Masses:,,Volumes mm^3:,,,,
Battery,link,, £22.00 , £5.90 ,12.2,to power the robot,1,BetaFPV LAVA 450mAh 1S 75C LiHV Batteries (4pcs) (BT2.0), £27.90 ,,total mass:,155,Crown:,23381.936,,,
IMU,link,, £24.50 ,,2,to find cycle postion and angle,1,SEN-21336, £24.50 ,,top bit mass: ,125,Gearx4:,14475.304,,,
Encoders,link,, £7.50 ,,3,magnetic encoders to find tail angular velocity,2,PIM604, £15.00 ,,leg mass: ,30,ConrodwSpringx2:,2335.124,,,
Qwicc cable,link,, £1.00 ,,2,to connect the imu to the teensy solderless,1,104964, £1.00 ,,Printed parts top:,96.5,Conrodx2:,1474.34,,Upper Density (g/mm^3):,0.001674572
StepDown,link,, £12.50 ,,1,to step down the 2S voltage for logic power,1,POL-2831, £12.50 ,,,,MotorMount:,7365.703,,Leg Density (g/mm^3):,0.001199397
PCB1,, £3.73 , £7.64 , £15.75 ,,,1,, £23.39 ,,,,Struct:,8594.273,,Upper Density (g/cm^3):,1.67457157
PCB2,, £5.30 , £9.61 , £16.28 ,,,1,, £25.89 ,,,,Total Upper:,57626.68,,Leg Density (g/cm^3):,1.199396608
Total,,,,,23,,,, £159.48 ,,,,Rack:,16327.168,,,
MRV TAIL,,,,,,,,,,,,,Sideleg:,5194.201,,,
Part,Link,Price,w. Tax,Delivery,Weight (g),Note,Quantity,SKU,Total,,,,Stopper:,3491.208,,,
Motor,link,, £5.20 ,,25,GR 50:1,2,75-0638, £10.40 ,,,,Total Lower:,25012.577,,,
Total,,,,,25,,,, £10.40 ,,,,,,,,
MATERIALS,,,,,,,,,,,,,,,,,
Name, ,Price per quantity,w. Tax,Column1,121.3g,Note,Quantity,     ,Total,,,,,,,,
PLA,, £27.06 ,,,,quantity in kg,0.292,, £7.90 ,,,,,,,,
Nylon Powder,, £101.00 ,,,,quantity in kg,0.3,, £30.30 ,,,,,,,,
PPS-CF,, £151.00 ,,,,quantity in kg,0.13,, £19.63 ,,,,,,,,
Total,,,,,,,,, £57.83 ,,,,,,,,
,,,,,,,,Grand Total:, £286.66 ,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART,Exported?,,,,,,,,,,,,,,,,
ARMx2,TRUE,,,,,,,,,,,,,,,,
BallforBearing,TRUE,,,,,,,,,,,,,,,,
Cam,TRUE,,,,,,,,,,,,,,,,
Clamp,TRUE,,,,,,,,,,,,,,,,
ConRodL,TRUE,,,,,,,,,,,,,,,,
ConRodR,TRUE,,,,,,,,,,,,,,,,
ConwSpringL,TRUE,,,,,,,,,,,,,,,,
ConwSpringR,TRUE,,,,,,,,,,,,,,,,
Crown,TRUE,,,,,,,,,,,,,,,,
DriveNGearx2,TRUE,,,,,,,,,,,,,,,,
DriveRGearx2,TRUE,,,,,,,,,,,,,,,,
Foot,TRUE,,,,,,,,,,,,,,,,
Leg,TRUE,,,,,,,,,,,,,,,,
Mold,TRUE,,,,,,,,,,,,,,,,
MoldSticks,TRUE,,,,,,,,,,,,,,,,
MotorMount,TRUE,,,,,,,,,,,,,,,,
Sideleg,TRUE,,,,,,,,,,,,,,,,
Stopper,TRUE,,,,,,,,,,,,,,,,
Struct,TRUE,,,,,,,,,,,,,,,,
SymmetricRachet,TRUE,,,,,,,,,,,,,,,,
TestRig,TRUE,,,,,,,,,,,,,,,,
UnSym Rachet,TRUE,,,,,,,,,,,,,,,,
Ball,TRUE,,,,,,,,,,,,,,,,
